store,sku,amount
Naivasha,DM1759,1825 KSH
Nakuru,DM1759,9313 KSH
Malindi,DM1182,3222 KSH
Nakuru,DM1724,6520 KSH
Nakuru,DM1210,2280 KSH
Nakuru,DM1294,3297 KSH
Naivasha,DM1759,4651 KSH
Malindi,DM1786,1422 KSH
Mombasa,DM1182,3207 KSH
Nashua,DM1537,2790 KSH
Nashua,DM1210,8318 KSH
Mombasa,DM1786,9710 KSH
Malindi,DM1210,3803 KSH
Nashua,DM1724,3710 KSH
Nashua,DM1759,1798 KSH
Malindi,DM1182,3911 KSH
Nakuru,DM1230,1938 KSH
Mombasa,DM1182,5305 KSH
Mombasa,DM1537,2477 KSH
Nairobi,DM1182,2336 KSH
Nairobi,DM1230,9670 KSH
Nakuru,DM1230,1924 KSH
Naivasha,DM1786,3582 KSH
Mombasa,DM1759,2861 KSH
Nairobi,DM1724,2267 KSH
Nairobi,DM1230,2157 KSH
Nairobi,DM1230,8544 KSH
Mombasa,DM1759,8521 KSH
Nairobi,DM1786,4790 KSH
Mombasa,DM1786,3933 KSH
Nairobi,DM1786,5854 KSH
Mombasa,DM1182,9200 KSH
Malindi,DM1541,8404 KSH
Mombasa,DM1210,6257 KSH
Nairobi,DM1873,8077 KSH
Malindi,DM1537,8573 KSH
Nakuru,DM1230,6093 KSH
Mombasa,DM1786,2482 KSH
Mombasa,DM1182,4633 KSH
Mombasa,DM1873,1331 KSH
Nairobi,DM1537,2426 KSH
Mombasa,DM1759,1070 KSH
Malindi,DM1294,6089 KSH
Malindi,DM1230,1720 KSH
Mombasa,DM1537,1471 KSH
Nairobi,DM1230,4653 KSH
Nairobi,DM1873,8697 KSH
Mombasa,DM1873,4433 KSH
Nakuru,DM1759,1648 KSH
Nairobi,DM1724,6871 KSH
Mombasa,DM1294,9128 KSH
Nakuru,DM1873,7622 KSH
Mombasa,DM1724,7044 KSH
Naivasha,DM1210,1151 KSH
Malindi,DM1786,4332 KSH
Nakuru,DM1541,4094 KSH
Nairobi,DM1759,5028 KSH
Nairobi,DM1182,2306 KSH
Naivasha,DM1873,6551 KSH
Mombasa,DM1786,7760 KSH
Nashua,DM1873,9193 KSH
Malindi,DM1210,8271 KSH
Mombasa,DM1541,1639 KSH
Nakuru,DM1873,3249 KSH
Malindi,DM1873,7532 KSH
Mombasa,DM1724,3996 KSH
Mombasa,DM1873,5038 KSH
Nashua,DM1182,8771 KSH
Nairobi,DM1537,1576 KSH
Naivasha,DM1759,5944 KSH
Naivasha,DM1724,4266 KSH
Naivasha,DM1182,8386 KSH
Mombasa,DM1182,2288 KSH
Naivasha,DM1230,7133 KSH
Mombasa,DM1541,8365 KSH
Mombasa,DM1759,6661 KSH
Malindi,DM1210,3836 KSH
Nashua,DM1759,2345 KSH
Mombasa,DM1210,6547 KSH
Malindi,DM1182,2062 KSH
Nakuru,DM1873,8354 KSH
Nairobi,DM1873,7588 KSH
Mombasa,DM1210,3102 KSH
Malindi,DM1759,8011 KSH
Mombasa,DM1294,6275 KSH
Mombasa,DM1873,4641 KSH
Nairobi,DM1759,9263 KSH
Naivasha,DM1210,3904 KSH
Mombasa,DM1537,3801 KSH
Nairobi,DM1759,1153 KSH
Mombasa,DM1210,4274 KSH
Nashua,DM1786,7084 KSH
Nairobi,DM1537,5693 KSH
Nashua,DM1541,5223 KSH
Naivasha,DM1294,9663 KSH
Malindi,DM1210,5578 KSH
Mombasa,DM1759,6606 KSH
Malindi,DM1537,6145 KSH
Nairobi,DM1724,6649 KSH
Nairobi,DM1182,4093 KSH
Malindi,DM1537,8252 KSH
Nakuru,DM1182,6392 KSH
Mombasa,DM1786,1767 KSH
Nairobi,DM1230,8573 KSH
Nakuru,DM1210,1160 KSH
Nashua,DM1873,4034 KSH
Nakuru,DM1182,2453 KSH
Nairobi,DM1230,6073 KSH
Mombasa,DM1182,3637 KSH
Nairobi,DM1537,9565 KSH
Mombasa,DM1210,2651 KSH
Nakuru,DM1873,7767 KSH
Mombasa,DM1541,1159 KSH
Nairobi,DM1294,9629 KSH
Naivasha,DM1230,4895 KSH
Malindi,DM1210,2776 KSH
Nashua,DM1294,2494 KSH
Mombasa,DM1759,8691 KSH
Nairobi,DM1759,2447 KSH
Malindi,DM1210,1890 KSH
Nashua,DM1537,6963 KSH
Nashua,DM1724,6363 KSH
Malindi,DM1541,3209 KSH
Mombasa,DM1786,5117 KSH
Mombasa,DM1541,6035 KSH
Malindi,DM1230,3506 KSH
Mombasa,DM1182,7013 KSH
Nakuru,DM1230,7408 KSH
Mombasa,DM1210,2493 KSH
Naivasha,DM1759,4093 KSH
Malindi,DM1724,6401 KSH
Nairobi,DM1541,8117 KSH
Nairobi,DM1294,8570 KSH
Nakuru,DM1541,2517 KSH
Nakuru,DM1230,5405 KSH
Nairobi,DM1759,6882 KSH
Nairobi,DM1786,3376 KSH
Mombasa,DM1759,3520 KSH
Mombasa,DM1759,6976 KSH
Nashua,DM1873,6970 KSH
Naivasha,DM1873,3581 KSH
Nairobi,DM1210,5491 KSH
Mombasa,DM1724,8057 KSH
Nairobi,DM1210,4343 KSH
Nairobi,DM1294,2744 KSH
Naivasha,DM1182,5156 KSH
Naivasha,DM1230,4757 KSH
Malindi,DM1210,3733 KSH
Mombasa,DM1541,7421 KSH
Nakuru,DM1182,8312 KSH
Nashua,DM1759,4965 KSH
Nairobi,DM1210,4273 KSH
Mombasa,DM1724,3056 KSH
Nashua,DM1182,1641 KSH
Mombasa,DM1541,6935 KSH
Nashua,DM1786,7368 KSH
Nakuru,DM1759,6033 KSH
Nairobi,DM1786,1676 KSH
Nairobi,DM1786,4129 KSH
Nashua,DM1230,4556 KSH
Mombasa,DM1786,9843 KSH
Malindi,DM1873,3793 KSH
Nairobi,DM1537,7531 KSH
Mombasa,DM1724,8153 KSH
Naivasha,DM1786,5237 KSH
Nairobi,DM1759,9250 KSH
Mombasa,DM1294,8229 KSH
Mombasa,DM1182,1730 KSH
Nakuru,DM1537,7968 KSH
Nairobi,DM1724,1917 KSH
Nakuru,DM1537,2638 KSH
Nakuru,DM1210,9570 KSH
Malindi,DM1210,9545 KSH
Nairobi,DM1210,6156 KSH
Naivasha,DM1210,8147 KSH
Nashua,DM1786,7463 KSH
Mombasa,DM1759,2492 KSH
Nairobi,DM1873,8732 KSH
Mombasa,DM1210,8072 KSH
Nairobi,DM1230,7698 KSH
Nashua,DM1541,4741 KSH
Nakuru,DM1294,2434 KSH
Nashua,DM1724,5992 KSH
Nashua,DM1230,1940 KSH
Nakuru,DM1230,9186 KSH
Nairobi,DM1541,9671 KSH
Naivasha,DM1541,8523 KSH
Malindi,DM1537,7154 KSH
Mombasa,DM1182,6485 KSH
Naivasha,DM1724,8218 KSH
Mombasa,DM1182,4720 KSH
Nairobi,DM1873,8507 KSH
Mombasa,DM1182,1588 KSH
Mombasa,DM1786,7205 KSH
Nairobi,DM1210,1441 KSH
Mombasa,DM1786,1972 KSH
Nairobi,DM1759,9282 KSH
Malindi,DM1230,2954 KSH
Nairobi,DM1210,5124 KSH
Mombasa,DM1210,9874 KSH
Mombasa,DM1230,1887 KSH
Mombasa,DM1541,4127 KSH
Nashua,DM1759,5285 KSH
Nairobi,DM1759,5660 KSH
Nakuru,DM1541,1544 KSH
Nairobi,DM1873,8965 KSH
Nairobi,DM1294,6212 KSH
Naivasha,DM1230,1435 KSH
Nairobi,DM1210,1801 KSH
Nairobi,DM1541,3475 KSH
Nashua,DM1724,5991 KSH
Nairobi,DM1873,9627 KSH
Nakuru,DM1210,7440 KSH
Nakuru,DM1182,8617 KSH
Nairobi,DM1537,6605 KSH
Naivasha,DM1873,9261 KSH
Naivasha,DM1210,1411 KSH
Malindi,DM1541,1415 KSH
Malindi,DM1786,5170 KSH
Mombasa,DM1724,5523 KSH
Nashua,DM1537,2356 KSH
Malindi,DM1724,7931 KSH
Naivasha,DM1537,1394 KSH
Mombasa,DM1759,2755 KSH
Nashua,DM1230,8354 KSH
Nakuru,DM1537,7094 KSH
Mombasa,DM1210,3954 KSH
Nakuru,DM1210,4229 KSH
Mombasa,DM1759,2825 KSH
Nakuru,DM1294,8132 KSH
Nairobi,DM1541,6354 KSH
Nakuru,DM1182,4775 KSH
Nakuru,DM1294,5868 KSH
Nakuru,DM1537,3575 KSH
Nashua,DM1759,7566 KSH
Malindi,DM1873,6389 KSH
Mombasa,DM1541,6466 KSH
Mombasa,DM1786,8652 KSH
Mombasa,DM1294,9759 KSH
Mombasa,DM1210,4440 KSH
Mombasa,DM1182,6456 KSH
Mombasa,DM1182,5956 KSH
Nashua,DM1182,2953 KSH
Nashua,DM1537,3534 KSH
Mombasa,DM1537,5475 KSH
Naivasha,DM1724,6296 KSH
Nairobi,DM1541,1685 KSH
Nairobi,DM1541,2805 KSH
Nairobi,DM1210,6893 KSH
Mombasa,DM1541,8628 KSH
Mombasa,DM1724,7130 KSH
Mombasa,DM1294,3744 KSH
Malindi,DM1230,9530 KSH
Nashua,DM1759,1443 KSH
Mombasa,DM1230,3557 KSH
Nairobi,DM1182,5163 KSH
Mombasa,DM1294,6887 KSH
Nairobi,DM1294,5715 KSH
Nairobi,DM1230,5772 KSH
Mombasa,DM1210,8434 KSH
Nairobi,DM1210,7182 KSH
Naivasha,DM1541,3717 KSH
Nairobi,DM1724,6812 KSH
Nairobi,DM1294,2136 KSH
Naivasha,DM1759,4460 KSH
Nairobi,DM1759,5187 KSH
Malindi,DM1537,2837 KSH
Nakuru,DM1759,4201 KSH
Nairobi,DM1182,1582 KSH
Nakuru,DM1537,8484 KSH
Nairobi,DM1294,1223 KSH
Nakuru,DM1759,7160 KSH
Nairobi,DM1230,9547 KSH
Nashua,DM1210,4555 KSH
Mombasa,DM1786,6279 KSH
Naivasha,DM1724,1658 KSH
Nairobi,DM1230,4010 KSH
Nairobi,DM1724,9288 KSH
Nashua,DM1724,1381 KSH
Naivasha,DM1230,5883 KSH
Nairobi,DM1230,8340 KSH
Nairobi,DM1759,2824 KSH
Nairobi,DM1182,1254 KSH
Nairobi,DM1230,4971 KSH
Nashua,DM1294,9825 KSH
Malindi,DM1541,1115 KSH
Mombasa,DM1541,6314 KSH
Mombasa,DM1873,8552 KSH
Nakuru,DM1230,3853 KSH
Nakuru,DM1873,8113 KSH
Naivasha,DM1759,2842 KSH
Mombasa,DM1541,6017 KSH
Mombasa,DM1294,7549 KSH
Nairobi,DM1537,9756 KSH
Nashua,DM1724,5516 KSH
Mombasa,DM1786,1970 KSH
Nairobi,DM1873,3378 KSH
Nashua,DM1541,1178 KSH
Malindi,DM1873,7755 KSH
Malindi,DM1210,4169 KSH
Mombasa,DM1873,7320 KSH
Naivasha,DM1210,1312 KSH
Nashua,DM1759,5822 KSH
Nashua,DM1786,7053 KSH
Malindi,DM1537,1429 KSH
Malindi,DM1210,9478 KSH
Mombasa,DM1759,9860 KSH
Nashua,DM1210,6033 KSH
Nashua,DM1537,4565 KSH
Mombasa,DM1537,8097 KSH
Mombasa,DM1873,7966 KSH
Nairobi,DM1537,3451 KSH
Nairobi,DM1724,3355 KSH
Mombasa,DM1294,2948 KSH
Mombasa,DM1230,1602 KSH
Naivasha,DM1294,9416 KSH
Nairobi,DM1759,3993 KSH
Naivasha,DM1786,2922 KSH
Nairobi,DM1541,8790 KSH
Nashua,DM1210,6011 KSH
Nashua,DM1537,4301 KSH
Nairobi,DM1294,8193 KSH
Naivasha,DM1873,9822 KSH
Naivasha,DM1786,3151 KSH
Naivasha,DM1210,7555 KSH
Naivasha,DM1786,8660 KSH
Naivasha,DM1541,3660 KSH
Nairobi,DM1182,3908 KSH
Naivasha,DM1537,3329 KSH
Mombasa,DM1294,5239 KSH
Nairobi,DM1230,4287 KSH
Mombasa,DM1210,9202 KSH
Mombasa,DM1541,1074 KSH
Mombasa,DM1537,9664 KSH
Mombasa,DM1786,4777 KSH
Malindi,DM1537,7826 KSH
Nakuru,DM1724,5328 KSH
Nashua,DM1537,2152 KSH
Nairobi,DM1230,7696 KSH
Nakuru,DM1786,6020 KSH
Nairobi,DM1294,4011 KSH
Nakuru,DM1210,6344 KSH
Mombasa,DM1210,4756 KSH
Mombasa,DM1541,1859 KSH
Nashua,DM1537,4448 KSH
Mombasa,DM1230,9606 KSH
Naivasha,DM1541,2571 KSH
Malindi,DM1230,5646 KSH
Nakuru,DM1724,6731 KSH
Malindi,DM1724,1318 KSH
Naivasha,DM1537,4443 KSH
Malindi,DM1541,9213 KSH
Mombasa,DM1759,8933 KSH
Mombasa,DM1759,5866 KSH
Nairobi,DM1724,1719 KSH
Mombasa,DM1230,8506 KSH
Nakuru,DM1537,7289 KSH
Mombasa,DM1873,1152 KSH
Mombasa,DM1541,7428 KSH
Nairobi,DM1182,8894 KSH
Nashua,DM1537,2914 KSH
Nashua,DM1537,5058 KSH
Nairobi,DM1230,5335 KSH
Nairobi,DM1759,7208 KSH
Nakuru,DM1759,6899 KSH
Nairobi,DM1210,3345 KSH
Mombasa,DM1873,8586 KSH
Malindi,DM1759,1265 KSH
Malindi,DM1786,6853 KSH
Mombasa,DM1873,5443 KSH
Mombasa,DM1182,1631 KSH
Nakuru,DM1873,9505 KSH
Malindi,DM1230,4594 KSH
Nashua,DM1537,9963 KSH
Mombasa,DM1537,8493 KSH
Nakuru,DM1724,4319 KSH
Mombasa,DM1759,7871 KSH
Nairobi,DM1786,7352 KSH
Malindi,DM1294,7157 KSH
Nakuru,DM1541,5684 KSH
Nashua,DM1786,7648 KSH
Nairobi,DM1230,2336 KSH
Nakuru,DM1724,4814 KSH
Naivasha,DM1724,5075 KSH
Nairobi,DM1541,1729 KSH
Nairobi,DM1537,9481 KSH
Mombasa,DM1537,2704 KSH
Naivasha,DM1182,6670 KSH
Mombasa,DM1541,3473 KSH
Nairobi,DM1786,4502 KSH
Naivasha,DM1537,3041 KSH
Nairobi,DM1724,4244 KSH
Mombasa,DM1182,4028 KSH
Nashua,DM1759,3733 KSH
Nairobi,DM1786,5756 KSH
Naivasha,DM1230,4547 KSH
Nairobi,DM1230,4759 KSH
Nashua,DM1210,5326 KSH
Mombasa,DM1537,4777 KSH
Mombasa,DM1786,4846 KSH
Malindi,DM1541,6823 KSH
Nairobi,DM1724,4284 KSH
Mombasa,DM1294,5717 KSH
Nakuru,DM1230,3974 KSH
Nashua,DM1786,6913 KSH
Mombasa,DM1873,9412 KSH
Nashua,DM1182,5914 KSH
Malindi,DM1537,9462 KSH
Mombasa,DM1541,4653 KSH
Mombasa,DM1537,3860 KSH
Malindi,DM1786,6933 KSH
Naivasha,DM1786,6160 KSH
Naivasha,DM1724,4542 KSH
Nakuru,DM1210,2124 KSH
Nashua,DM1210,9777 KSH
Nairobi,DM1210,4438 KSH
Nairobi,DM1182,2031 KSH
Nakuru,DM1541,6710 KSH
Naivasha,DM1724,9666 KSH
Nashua,DM1541,1157 KSH
Mombasa,DM1724,6236 KSH
Naivasha,DM1873,9225 KSH
Mombasa,DM1786,7622 KSH
Malindi,DM1210,1775 KSH
Naivasha,DM1724,2540 KSH
Mombasa,DM1873,7337 KSH
Mombasa,DM1294,7428 KSH
Nashua,DM1724,7610 KSH
Nairobi,DM1210,8450 KSH
Mombasa,DM1182,6392 KSH
Nairobi,DM1873,7689 KSH
Nashua,DM1537,9818 KSH
Naivasha,DM1182,1074 KSH
Nakuru,DM1873,4740 KSH
Mombasa,DM1873,2036 KSH
Nashua,DM1873,4645 KSH
Nakuru,DM1537,7241 KSH
Mombasa,DM1541,2495 KSH
Nairobi,DM1210,5852 KSH
Nairobi,DM1724,2641 KSH
Nashua,DM1541,5559 KSH
Nairobi,DM1210,5370 KSH
Malindi,DM1873,5649 KSH
Nairobi,DM1724,9493 KSH
Nashua,DM1759,4134 KSH
Nairobi,DM1724,1106 KSH
Nashua,DM1230,6556 KSH
Nairobi,DM1294,3356 KSH
Mombasa,DM1873,3990 KSH
Mombasa,DM1537,6805 KSH
Nairobi,DM1786,2701 KSH
Nakuru,DM1230,7648 KSH
Nakuru,DM1759,5495 KSH
Malindi,DM1182,4089 KSH
Nakuru,DM1537,5632 KSH
Nairobi,DM1541,6886 KSH
Nakuru,DM1873,5079 KSH
Nairobi,DM1873,7389 KSH
Nashua,DM1230,7644 KSH
Nairobi,DM1230,8760 KSH
Mombasa,DM1210,6429 KSH
Nakuru,DM1541,2345 KSH
Nairobi,DM1873,7217 KSH
Mombasa,DM1210,8352 KSH
Naivasha,DM1786,9397 KSH
Malindi,DM1294,1612 KSH
Nakuru,DM1182,6362 KSH
Nashua,DM1210,4189 KSH
Mombasa,DM1759,7886 KSH
Malindi,DM1182,2142 KSH
Nashua,DM1724,8210 KSH
Mombasa,DM1724,8575 KSH
Naivasha,DM1759,7549 KSH
Naivasha,DM1537,8546 KSH
Mombasa,DM1759,1491 KSH
Nakuru,DM1786,3600 KSH
Naivasha,DM1230,2134 KSH
Nashua,DM1210,4500 KSH
Malindi,DM1230,5926 KSH
Nashua,DM1230,2829 KSH
Nashua,DM1786,5881 KSH
Mombasa,DM1541,9324 KSH
Mombasa,DM1541,5617 KSH
Mombasa,DM1210,3124 KSH
Nairobi,DM1873,9369 KSH
Malindi,DM1210,6429 KSH
Mombasa,DM1230,5969 KSH
Mombasa,DM1294,5413 KSH
Mombasa,DM1230,5612 KSH
Nashua,DM1873,8426 KSH
Mombasa,DM1724,7065 KSH
Naivasha,DM1541,8471 KSH
Mombasa,DM1786,1577 KSH
Malindi,DM1210,3631 KSH
Malindi,DM1182,6347 KSH
Nairobi,DM1210,9816 KSH
Nashua,DM1724,4825 KSH
Malindi,DM1541,3643 KSH
Nairobi,DM1873,9915 KSH
Nairobi,DM1182,1172 KSH
Malindi,DM1537,5070 KSH
Nairobi,DM1230,1483 KSH
Naivasha,DM1759,9045 KSH
Nairobi,DM1786,5647 KSH
Mombasa,DM1873,5085 KSH
Nairobi,DM1759,8474 KSH
Mombasa,DM1294,6136 KSH
Nashua,DM1182,9851 KSH
Nairobi,DM1759,7694 KSH
Mombasa,DM1786,5188 KSH
Nairobi,DM1182,1266 KSH
Nairobi,DM1294,4638 KSH
Nakuru,DM1294,7568 KSH
Malindi,DM1541,8568 KSH
Malindi,DM1210,9925 KSH
Nairobi,DM1537,2503 KSH
Mombasa,DM1537,5601 KSH
Nairobi,DM1759,8445 KSH
Naivasha,DM1759,2544 KSH
Naivasha,DM1786,2279 KSH
Nairobi,DM1230,3933 KSH
Naivasha,DM1759,9813 KSH
Nakuru,DM1182,1260 KSH
Malindi,DM1786,5822 KSH
Nairobi,DM1759,5957 KSH
Nashua,DM1786,6469 KSH
Nairobi,DM1873,6285 KSH
Mombasa,DM1210,7608 KSH
Mombasa,DM1759,3969 KSH
Nairobi,DM1294,6654 KSH
Malindi,DM1537,7233 KSH
Malindi,DM1786,3571 KSH
Nairobi,DM1786,6277 KSH
Mombasa,DM1182,7883 KSH
Mombasa,DM1537,4161 KSH
Mombasa,DM1230,8083 KSH
Naivasha,DM1873,3053 KSH
Mombasa,DM1873,7721 KSH
Naivasha,DM1210,7558 KSH
Nairobi,DM1873,5799 KSH
Naivasha,DM1541,7063 KSH
Mombasa,DM1210,6908 KSH
Nairobi,DM1873,2525 KSH
Malindi,DM1873,3019 KSH
Nairobi,DM1210,3160 KSH
Nashua,DM1873,6036 KSH
Malindi,DM1230,3036 KSH
Nakuru,DM1724,9164 KSH
Mombasa,DM1537,6332 KSH
Mombasa,DM1724,2692 KSH
Malindi,DM1210,5028 KSH
Mombasa,DM1182,5467 KSH
Mombasa,DM1759,9907 KSH
Nashua,DM1294,9277 KSH
Naivasha,DM1210,1753 KSH
Mombasa,DM1294,4282 KSH
Nairobi,DM1724,7215 KSH
Mombasa,DM1786,1978 KSH
Malindi,DM1230,2785 KSH
Nashua,DM1541,7260 KSH
Naivasha,DM1786,8118 KSH
Nairobi,DM1537,7764 KSH
Mombasa,DM1724,3920 KSH
Mombasa,DM1537,6609 KSH
Mombasa,DM1182,4506 KSH
Nairobi,DM1873,3435 KSH
Nairobi,DM1294,9188 KSH
Nashua,DM1537,6394 KSH
Mombasa,DM1541,7843 KSH
Nashua,DM1537,4020 KSH
Nairobi,DM1786,5770 KSH
Mombasa,DM1786,4446 KSH
Mombasa,DM1182,9090 KSH
Malindi,DM1541,2968 KSH
Mombasa,DM1182,7093 KSH
Mombasa,DM1786,8130 KSH
Malindi,DM1786,6454 KSH
Malindi,DM1873,7253 KSH
Mombasa,DM1724,5855 KSH
Mombasa,DM1230,6339 KSH
Nairobi,DM1759,6392 KSH
Naivasha,DM1724,3539 KSH
Mombasa,DM1786,9197 KSH
Nairobi,DM1759,1713 KSH
Nairobi,DM1759,7844 KSH
Nakuru,DM1759,1312 KSH
Nairobi,DM1759,1123 KSH
Nakuru,DM1230,9793 KSH
Nakuru,DM1541,1265 KSH
Nairobi,DM1759,8146 KSH
Mombasa,DM1759,6933 KSH
Nashua,DM1182,9341 KSH
Nairobi,DM1210,5476 KSH
Nakuru,DM1759,5961 KSH
Nakuru,DM1759,4683 KSH
Mombasa,DM1182,5263 KSH
Nairobi,DM1786,2726 KSH
Malindi,DM1541,4244 KSH
Mombasa,DM1537,4075 KSH
Nairobi,DM1541,1235 KSH
Malindi,DM1541,3322 KSH
Nakuru,DM1786,4537 KSH
Malindi,DM1786,4011 KSH
Mombasa,DM1759,3353 KSH
Mombasa,DM1182,4539 KSH
Naivasha,DM1210,3056 KSH
Nashua,DM1537,6109 KSH
Naivasha,DM1873,1815 KSH
Mombasa,DM1541,3022 KSH
Naivasha,DM1873,1138 KSH
Nakuru,DM1724,1261 KSH
Mombasa,DM1294,3851 KSH
Nakuru,DM1759,5767 KSH
Mombasa,DM1541,4992 KSH
Nairobi,DM1873,5096 KSH
Nashua,DM1182,7748 KSH
Nakuru,DM1873,5397 KSH
Nairobi,DM1759,9111 KSH
Nashua,DM1537,5236 KSH
Nairobi,DM1294,8601 KSH
Mombasa,DM1873,7188 KSH
Nairobi,DM1541,4523 KSH
Nairobi,DM1724,6968 KSH
Nairobi,DM1541,6115 KSH
Nairobi,DM1294,8903 KSH
Malindi,DM1786,1365 KSH
Nairobi,DM1786,1471 KSH
Mombasa,DM1537,8171 KSH
Nairobi,DM1541,3953 KSH
Nairobi,DM1210,1457 KSH
Mombasa,DM1541,1594 KSH
Naivasha,DM1537,1432 KSH
Mombasa,DM1210,3024 KSH
Nakuru,DM1724,6390 KSH
Nairobi,DM1873,3484 KSH
Nakuru,DM1210,7039 KSH
Naivasha,DM1537,8528 KSH
Nakuru,DM1724,3757 KSH
Malindi,DM1182,3280 KSH
Naivasha,DM1182,7907 KSH
Naivasha,DM1724,7951 KSH
Mombasa,DM1873,5011 KSH
Nashua,DM1182,6256 KSH
Malindi,DM1786,8772 KSH
Naivasha,DM1182,6964 KSH
Mombasa,DM1759,5497 KSH
Nashua,DM1182,4457 KSH
Mombasa,DM1537,1552 KSH
Nairobi,DM1210,6790 KSH
Mombasa,DM1873,2183 KSH
Nakuru,DM1210,9097 KSH
Nairobi,DM1294,2557 KSH
Nakuru,DM1182,3845 KSH
Nairobi,DM1759,2661 KSH
Nakuru,DM1182,9917 KSH
Mombasa,DM1182,8223 KSH
Malindi,DM1230,5651 KSH
Malindi,DM1873,5311 KSH
Nairobi,DM1294,1218 KSH
Malindi,DM1873,7514 KSH
Mombasa,DM1724,3768 KSH
Nairobi,DM1541,7307 KSH
Nashua,DM1182,9790 KSH
Nakuru,DM1210,3491 KSH
Naivasha,DM1759,3944 KSH
Nairobi,DM1873,2287 KSH
Nairobi,DM1294,9261 KSH
Mombasa,DM1873,1439 KSH
Mombasa,DM1724,6271 KSH
Malindi,DM1210,5090 KSH
Nairobi,DM1182,9140 KSH
Nairobi,DM1537,9854 KSH
Malindi,DM1724,3413 KSH
Nakuru,DM1182,5402 KSH
Mombasa,DM1541,8388 KSH
Mombasa,DM1759,8545 KSH
Mombasa,DM1759,2825 KSH
Nakuru,DM1230,2829 KSH
Mombasa,DM1724,6085 KSH
Mombasa,DM1724,5693 KSH
Nairobi,DM1873,8908 KSH
Naivasha,DM1724,8968 KSH
Nakuru,DM1210,3499 KSH
Nakuru,DM1294,5141 KSH
Malindi,DM1210,5083 KSH
Nakuru,DM1230,8956 KSH
Mombasa,DM1230,5795 KSH
Nakuru,DM1786,4026 KSH
Mombasa,DM1541,7483 KSH
Naivasha,DM1541,6274 KSH
Nakuru,DM1210,5264 KSH
Mombasa,DM1537,7073 KSH
Nashua,DM1786,5247 KSH
Malindi,DM1182,8726 KSH
Nakuru,DM1210,1663 KSH
Nakuru,DM1294,8098 KSH
Nairobi,DM1786,1530 KSH
